COD. PRODOTTO|EAN1|EAN2|EAN3|EAN4|NOME|DESCRIZIONE HTML|CATEGORIA|PERCORSO CATEGORIA|MARCA|PREZZO LISTINO|PREZZO VENDITA|DISPO|IMMAGINE|
08688|8032605924285||||REMAN FOR USE IN PANASONIC DQTU10J DP1520||LASER REMAN FOR USE IN|CONSUMABILI > REMAN FOR USE IN > LASER REMAN FOR USE IN|PRODOTTI OEM|10|10.00|21|https://www.mooncomputer.it/imgart/418598600000000000000000000000000000000000000000.bmp|
09002309|5031713352006||||NASTRO OKI NERO PER MLL380 385 386 390 391 3390 3391||NASTRI INCHIOSTRATI ORIGINALI|CONSUMABILI > ORIGINALI > NASTRI INCHIOSTRATI ORIGINALI|OKI|11.25|11.25|4|https://www.mooncomputer.it/imgart/419410493419000000000000000000000000000000000000.bmp|
090304|8022804903044||||XTREME JOYPAD BT+WIRELESS PS3||ACCESSORI PER CONSOLE|UTILITA' > ACCESSORI PER CONSOLE|XTREME|14.79|14.79|5|https://www.mooncomputer.it/imgart/419413414000000000000000000000000000000000000000.bmp|
09321|8028400004505||||TUBETTO PASTA TERMOCONDUTTIVA DIGITUS PER DISSIPATORI 50 GR.||PASTA TERMCODUTTIVA|INFORMATICA > COMPONENTISTICA > ACCESSORI PER COMPONENTISTICA > PASTA TERMCODUTTIVA|DIGITUS|5.45|5.45|21|https://www.mooncomputer.it/imgart/4194D2440000000000000000000000000000000000000000.bmp|
1016C|4000976494427|8032749510061|||BUSTINE PLIPOF.X CD CF.100 ,||ALTRI ACCESSORI PER COMPONENTISTICA|INFORMATICA > COMPONENTISTICA > ACCESSORI PER COMPONENTISTICA > ALTRI ACCESSORI PER COMPONENTISTICA|PRODOTTI OEM|1.25|1.25|378|https://www.mooncomputer.it/imgart/4504568C0000000000000000000000000000000000000000.bmp|
10273210|8015908732108||||TELEFONO CORDLESS BRONDI NICE NERO-BIANCO||TELEFONI CORDLESS|TELEFONIA > FISSA > TELEFONI CORDLESS|BRONDI|13.9|13.90|30|https://www.mooncomputer.it/imgart/4504974D2450000000000000000000000000000000000000.bmp|
10273211|8015908732115||||TELEFONO CORDLESS BRONDI NICE BIANCO-BLU||TELEFONI CORDLESS|TELEFONIA > FISSA > TELEFONI CORDLESS|BRONDI|15|15.00|26|https://www.mooncomputer.it/imgart/4504974D2451000000000000000000000000000000000000.bmp|
10273810|8015908738100||||TELEFONO CORDLESS BRONDI GALA TWIN NERO|<ul><li>Funzionalità multiricevitore 5</li></ul><ul><li>Modalità mute microfono Si</li></ul><ul><li>Numero di melodie 5</li></ul><ul><li>Telefono con vivavoce No</li></ul><h5>Caratteristiche di gestione</h5><ul><li>Controllo del volume Digital</li></ul><ul><li>Sveglia Si</li></ul><h5>Contenuto dell'imballo</h5><ul><li>Base inclusa Si</li></ul><ul><li>Numero di cornette incluse 2</li></ul><h5>Design</h5><ul><li>Colore del prodotto&nbsp; Black</li></ul><ul><li>Telefono per persone anziane No</li></ul><ul><li>Tipo di montaggio Desk</li></ul><h5>Dimensioni e peso</h5><ul><li>Dimensioni ricevitore (LxPxA) 49 x 27 x 159 mm</li></ul><h5>Display</h5><ul><li>Display incorporato Si</li></ul><h5>Gestione chiamata</h5><ul><li>Identificatore di chiamata Si</li></ul><h5>Gestione energetica</h5><ul><li>Capacità della batteria 300 mAh</li></ul><ul><li>Numero di batterie 2</li></ul><ul><li>Tecnologia batteria Nickel-Metal Hydride (NiMH)</li></ul><ul><li>Tempo di conversazione 7 h</li></ul><ul><li>Tempo di stand-by 100 h</li></ul><ul><li>Tipo batteria AAA</li></ul><h5>Memoria</h5><ul><li>Capacità elenco chiamate 10</li></ul><ul><li>Capacità elenco ricomposizione 5</li></ul><ul><li>Capacità rubrica 20 voci</li></ul><h5>Prestazione</h5><ul><li>Compatibile GAP: Si</li></ul><ul><li>Raggio d'azione esterno 300 m</li></ul><ul><li>Raggio d'azione interno 50 m</li></ul><ul><li>Tipo DECT</li></ul><ul><li>Tipo di apparecchio Wireless handset</li></ul>|TELEFONI CORDLESS|TELEFONIA > FISSA > TELEFONI CORDLESS|BRONDI|19.9|19.90|33|https://www.mooncomputer.it/imgart/4504974D8450000000000000000000000000000000000000.bmp|
10273811|8015908738117||||TELEFONO CORDLESS BRONDI GALA TWIN BIANCO||TELEFONI CORDLESS|TELEFONIA > FISSA > TELEFONI CORDLESS|BRONDI|19.9|19.90|4|https://www.mooncomputer.it/imgart/4504974D8451000000000000000000000000000000000000.bmp|
10273812|8015908738124||||TELEFONO CORDLESS BRONDI GALA TWIN BIANCO/GRIGIO||TELEFONI CORDLESS|TELEFONIA > FISSA > TELEFONI CORDLESS|BRONDI|19.9|19.90|21|https://www.mooncomputer.it/imgart/4504974D8452000000000000000000000000000000000000.bmp|
